iso3c,indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,15669.61604,18427.61153,22134.01727,24837.95096,25357.78694,26329.31314,26401.96874,26663.20776,27272.31004,26705.181,26087.77581,27190.50118,27151.9241,26954.40451,28417.38421,26966.05479,25508.30252,25469.28741,27005.52953,26979.88536,27046.76042,27428.1202,27367.281,24464.17452,23512.6026,24231.3389,23777.31605,24629.07998,24692.49718,24452.60657,24288.9871,24508.80914
AFG,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6333385,352.243953,341.6124563,365.5487336,372.8967347,412.919585,418.4788158,495.1089285,550.514974,536.0124857,584.9073757,597.5252237,594.5741097,585.7082884,583.0551074,583.8696345
AGO,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,2969.960376,2742.656269,2646.012555,2660.144965,2724.888996,2732.076876,2730.993005,2767.179987,2861.35554,2786.725974,2614.492504,2560.063031,2333.47655,1716.210431,1684.215255,1878.793266,2073.214959,2164.081638,2204.909863,2190.087274,2189.560753,2208.791536,2426.431783,2412.392521,2582.646476,2866.434694,3085.424833,3394.512335,3641.447502,3544.026552,3585.905553,3580.26991,3750.209097,3799.429617,3846.240911,3751.694465,3533.86516,3413.656438
ALB,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,2037.122657,2111.450103,2128.253869,2106.613738,2036.937547,2031.018301,2104.432617,2046.571318,1979.801472,2116.875349,1880.04134,1331.75978,1243.390611,1371.096601,1494.041152,1703.237156,1869.816823,1676.08284,1835.596722,2085.371147,2244.564836,2453.557464,2572.652201,2725.096745,2887.291291,3062.592504,3263.8124,3485.227628,3775.479709,3928.342143,4094.360204,4210.077005,4276.917643,4327.608232,4413.335122,4524.467508,4683.519217,4867.632465
AND,GDP per capita (constant 2010 US$),,,,,,,,,,,42137.51899,41883.14121,43051.22318,44201.72808,44648.38222,43158.00761,43079.8158,42958.89386,42339.33407,41041.86678,40495.69802,38896.62594,37756.4209,36776.51496,35820.93175,35095.99254,34744.39245,35204.98946,35546.64955,35831.62082,35780.51967,35291.71141,34278.6471,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.72321,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49708.40049,48710.66462,43900.9517,41979.8659,39736.35406,38205.77109,38190.58659,39104.30185,40785.04923,41765.92035,42958.55839,43942.93819
ARB,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,4047.139512,4542.612463,4759.588438,4574.144651,4936.023123,5214.914505,5198.818431,4581.446188,4138.798977,4070.137703,3859.590263,3923.808192,3792.988823,3893.53771,3876.553343,4229.756258,4180.736482,4310.728754,4336.131516,4363.840586,4350.278363,4448.789231,4538.456151,4678.162606,4664.066582,4817.939379,4794.021529,4721.509447,4867.32458,5206.299338,5380.295656,5596.932194,5713.713358,5900.808326,5784.449651,5918.315891,5992.13389,6247.112068,6303.193677,6319.937178,6393.309536,6468.113066,6405.275291
ARE,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,102479.189,102319.7275,107452.1804,92822.3616,100480.4368,113682.0382,110644.5516,97254.06152,87942.90269,86936.84909,79439.28663,63832.13125,62248.92875,57136.0526,60523.22813,67606.91692,64386.09112,62821.15769,60133.19296,60932.27764,61818.23378,62294.12897,64176.48416,61231.22972,59845.03704,62833.25107,60434.67398,58707.00717,59867.28994,60042.59735,56199.02927,53926.5971,48260.01091,43658.94478,37203.39799,35037.89267,35730.32935,36376.45368,37765.71684,39146.11209,40753.88634,41449.68142,41197.16878
ARG,GDP per capita (constant 2010 US$),5605.191722,5815.233557,5675.060043,5290.766222,5738.59769,6251.32182,6120.712184,6226.997755,6434.953777,6954.764115,7056.848064,7335.759136,7329.921158,7407.366754,7685.857212,7559.143749,7291.840429,7681.017571,7227.564124,7849.36334,7849.115971,7327.705618,7160.749689,7355.292503,7354.429897,6865.450355,7177.265623,7260.987434,7075.901679,6474.180178,6224.510019,6698.009041,7130.56953,7612.681153,7952.711552,7630.022274,7955.127652,8500.940362,8728.947651,8339.894389,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10498.59253,10206.24955,10397.13652
ARM,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.936432,1601.593823,949.0332213,886.0327859,956.4708855,1043.543141,1121.881629,1172.136802,1267.575283,1317.741923,1404.321462,1548.075851,1761.888272,2019.984867,2244.220171,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3935.288772,3932.554617,4219.368549
ASM,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10613.91154,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9711.112717,9779.883487,9884.111866,9614.472672,9090.371432
