,iso3c,Environment,Economic,Social,Food_nutrition,GFSSI
Afghanistan,AFG,0.144569517,NA,0.035607981,NA,NA
Aland Islands,ALA,NA,NA,NA,NA,NA
Albania,ALB,0.46538806,0.59819849,0.133025497,NA,NA
Algeria,DZA,0.50944203,0.605939503,0.043201272,0.601960669,0.299327882
American Samoa,ASM,NA,NA,NA,NA,NA
Andorra,AND,NA,NA,NA,NA,NA
Angola,AGO,0.596961474,NA,0.028305151,0.440258261,NA
Anguilla,AIA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,0.658662066,NA,NA,NA,NA
Argentina,ARG,0.493111584,NA,0.0538905,0.645379624,NA
Armenia,ARM,0.472524722,0.621470805,0.027577381,NA,NA
Aruba,ABW,NA,NA,NA,NA,NA
Australia,AUS,0.537375366,0.629869284,0.474439014,0.822953318,0.602935624
Austria,AUT,0.59298588,0.61214186,0.142332277,0.889738971,0.46303691
Azerbaijan,AZE,0.380247465,0.654726,0.079674433,0.646156788,0.336469499
Bahamas,BHS,NA,NA,0.083189732,NA,NA
Bahrain,BHR,NA,0.66551315,0.211849521,NA,NA
Bangladesh,BGD,0.163950756,0.608303574,0.056345171,0.547013419,0.235462699
Barbados,BRB,0.446294939,NA,0.051366529,NA,NA
Belarus,BLR,0.435290102,0.624871786,0.086796936,0.710310832,0.359857563
Belgium,BEL,0.305762041,0.620637507,0.334434576,0.868664833,0.484558537
Belize,BLZ,0.544655213,NA,0.063711911,NA,NA
Benin,BEN,0.431822644,0.542733282,0.060552074,0.430332238,0.279547874
Bermuda,BMU,NA,NA,NA,NA,NA
Bhutan,BTN,NA,0.589446078,0.028200287,NA,NA
Bolivia,BOL,0.43879347,0.547360284,0.135518072,0.574708715,0.369823589
Caribbean Netherlands,BES,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,NA,0.712000924,0.177320296,NA,NA
Botswana,BWA,0.565197092,0.524508925,0.03015643,0.619565258,0.272806646
Bouvet Island,BVT,NA,NA,NA,NA,NA
Brazil,BRA,0.518701097,0.674126621,0.187174427,0.65826174,0.455591846
British Indian Ocean Territory,IOT,NA,NA,NA,NA,NA
Brunei,BRN,NA,0.676837994,0.026856985,NA,NA
Bulgaria,BGR,0.511690254,0.670197707,0.560051672,0.720611361,0.609936778
Burkina Faso,BFA,0.438462482,0.496970614,0.030531266,0.476942111,0.237338617
Burundi,BDI,NA,0.596220142,0.031439573,NA,NA
Cape Verde,CPV,0.409951969,0.645439338,0.05776621,NA,NA
Cambodia,KHM,0.239359702,0.567646332,0.05454109,0.520462444,0.249207162
Cameroon,CMR,0.495563472,0.587196613,0.029856329,0.535870004,0.261212929
Canada,CAN,0.619881232,0.592474351,0.7161246,0.783200563,0.673689698
Cayman Islands,CYM,NA,NA,NA,NA,NA
Central African Republic,CAF,0.593320956,NA,NA,NA,NA
Chad,TCD,0.488923852,0.540293792,0.028911106,NA,NA
Chile,CHL,0.531483471,0.662653546,0.514712712,0.641430813,0.583946084
China,CHN,NA,0.621109731,0.159272281,NA,NA
Christmas Island,CXR,NA,NA,NA,NA,NA
Cocos Islands,CCK,NA,NA,NA,NA,NA
Colombia,COL,0.666510142,0.647164348,0.357648655,0.630584511,0.558477024
Comoros,COM,NA,0.509767506,0.023662687,NA,NA
Republic of the Congo,COG,0.681905861,0.608043346,0.029335075,NA,NA
Cook Islands,COK,NA,NA,NA,NA,NA
Costa Rica,CRI,0.665437645,0.628684921,0.379060698,0.658215147,0.56840025
Ivory Coast,CIV,0.60438143,0.547049945,0.027148672,0.52745879,0.262312389
Croatia,HRV,0.581112647,0.674130305,0.185527071,NA,NA
